iter	Passed	Remaining
721	2505	964
722	2510	961
723	2512	957
724	2518	955
725	2520	951
726	2523	947
727	2526	943
728	2528	940
729	2534	937
730	2537	933
731	2541	930
732	2544	926
733	2547	923
734	2550	919
735	2553	915
736	2556	912
737	2559	908
738	2563	905
739	2565	901
740	2570	898
741	2573	894
742	2576	891
743	2579	887
744	2582	884
745	2586	880
746	2589	877
747	2593	873
748	2596	870
749	2598	866
750	2602	862
751	2605	859
752	2608	855
753	2611	851
754	2614	848
755	2618	845
756	2620	841
757	2624	837
758	2627	834
759	2629	830
760	2634	827
761	2636	823
762	2639	819
763	2643	816
764	2646	812
765	2649	809
766	2652	805
767	2655	802
768	2658	798
769	2662	795
770	2665	791
771	2668	788
772	2672	784
773	2675	781
774	2681	778
775	2684	774
776	2689	771
777	2692	768
778	2696	765
779	2699	761
780	2704	758
781	2707	754
782	2711	751
783	2714	747
784	2718	744
785	2721	740
786	2723	737
787	2726	733
788	2729	729
789	2731	726
790	2733	722
791	2736	718
792	2739	715
793	2742	711
794	2745	708
795	2750	704
796	2753	701
797	2756	697
798	2759	694
799	2761	690
800	2766	687
801	2768	683
802	2772	680
803	2775	676
804	2778	672
805	2781	669
806	2784	665
807	2788	662
808	2791	659
809	2796	655
810	2798	652
811	2802	648
812	2805	645
813	2812	642
814	2815	639
815	2819	635
816	2821	632
817	2827	629
818	2829	625
819	2833	621
820	2835	618
821	2838	614
822	2842	611
823	2847	608
824	2849	604
825	2853	601
826	2856	597
827	2858	593
828	2862	590
829	2864	586
830	2868	583
831	2871	579
832	2873	576
833	2876	572
834	2879	568
835	2882	565
836	2887	562
837	2890	558
838	2893	555
839	2897	551
840	2900	548
841	2902	544
842	2906	541
843	2909	537
844	2912	534
845	2915	530
846	2918	527
847	2921	523
848	2924	520
849	2928	516
850	2931	513
851	2934	509
852	2937	506
853	2939	502
854	2945	499
855	2948	496
856	2953	492
857	2958	489
858	2962	486
859	2971	483
860	2974	480
861	2978	476
862	2982	473
863	2985	469
864	2988	466
865	2992	463
866	2995	459
867	3000	456
868	3003	452
869	3008	449
870	3011	445
871	3014	442
872	3017	438
873	3019	435
874	3024	432
875	3026	428
876	3032	425
877	3035	421
878	3039	418
879	3042	414
880	3045	411
881	3048	407
882	3051	404
883	3054	400
884	3057	397
885	3061	393
886	3063	390
887	3067	386
888	3070	383
889	3075	380
890	3078	376
891	3081	373
892	3085	369
893	3088	366
894	3091	362
895	3095	359
896	3098	355
897	3101	352
898	3105	348
899	3108	345
900	3110	341
901	3115	338
902	3119	335
903	3121	331
904	3125	328
905	3128	324
906	3130	321
907	3134	317
908	3137	314
909	3139	310
910	3144	307
911	3148	303
912	3151	300
913	3154	296
914	3158	293
915	3161	289
916	3165	286
917	3168	283
918	3172	279
919	3175	276
920	3178	272
921	3181	269
922	3184	265
923	3188	262
924	3191	258
925	3194	255
926	3197	251
927	3200	248
928	3204	244
929	3206	241
930	3210	237
931	3213	234
932	3216	230
933	3219	227
934	3222	224
935	3227	220
936	3229	217
937	3233	213
938	3236	210
939	3239	206
940	3243	203
941	3245	199
942	3248	196
943	3251	192
944	3254	189
945	3257	185
946	3260	182
947	3263	179
948	3266	175
949	3269	172
950	3273	168
951	3276	165
952	3280	161
953	3282	158
954	3285	154
955	3289	151
956	3291	147
957	3296	144
958	3301	141
959	3303	137
960	3306	134
961	3309	130
962	3312	127
963	3317	123
964	3319	120
965	3325	117
966	3328	113
967	3331	110
968	3334	106
969	3337	103
970	3341	99
971	3349	96
972	3352	93
973	3356	89
974	3358	86
975	3363	82
976	3365	79
977	3376	75
978	3379	72
979	3382	69
980	3385	65
981	3388	62
982	3392	58
983	3394	55
984	3397	51
985	3401	48
986	3404	44
987	3407	41
988	3411	37
989	3414	34
990	3417	31
991	3420	27
992	3423	24
993	3429	20
994	3432	17
995	3438	13
996	3440	10
997	3443	6
998	3446	3
999	3448	0
